world_rank,university_name,country,teaching,international,research,citations,income,total_score
276-300,Stellenbosch University,South Africa,30,47.8,31.2,45.6,94.7,-
276-300,Tilburg University,Netherlands,33,62.2,45.1,34.9,55.1,-
276-300,Tokyo Medical and Dental University (TMDU),Japan,42.7,21.8,22.9,51.1,56.9,-
276-300,University College Cork,Republic of Ireland,26.7,70.8,22.2,56.9,45.9,-
276-300,University of Bologna,Italy,31,43.1,23.2,64.5,34.9,-
276-300,University of Cincinnati,United States of America,32,26,22.4,67.8,35.6,-
276-300,University of Erlangen-Nuremberg,Germany,28.4,49,15.3,68.7,46.8,-
276-300,University of Fribourg,Switzerland,29.2,84.4,19.7,58.6,48.2,-
276-300,University of Georgia,United States of America,39.7,35.3,28.9,46.6,31.1,-
276-300,University of Macau,Macau,17.1,73.3,20.3,68.1,33.6,-
276-300,University of Milan,Italy,25.3,37.4,22.9,66.9,40.1,-
276-300,University of Nebraska-Lincoln,United States of America,31,47.8,24.4,57.5,35,-
276-300,University of South Australia,Australia,25.7,80.8,24,52.7,83.9,-
276-300,University of South Carolina,United States of America,34.5,37.3,27.5,55.1,31.8,-
276-300,University of Wollongong,Australia,25.2,80.4,27.8,55.1,44.7,-
276-300,Victoria University of Wellington,New Zealand,21.6,84.2,28.5,53.8,49.7,-
276-300,Virginia Polytechnic Institute and State University,United States of America,40.1,28.9,40,40.7,42.6,-
301-350,Autonomous University of Madrid,Spain,28.6,48.8,19.3,59.7,32.2,-
301-350,Bangor University,United Kingdom,22.4,73.1,23,55.8,31.1,-
301-350,Charles Darwin University,Australia,20.3,45.5,17.8,64.5,32.7,-
301-350,Charles University in Prague,Czech Republic,31.5,53.9,24.3,50.1,29.4,-
301-350,Creighton University,United States of America,40.7,29.1,10.4,63.3,32.4,-
301-350,Deakin University,Australia,20.1,71.8,20.6,57.5,30.6,-
301-350,Drexel University,United States of America,31.8,42.2,14.3,57.5,34.6,-
301-350,Hong Kong Baptist University,Hong Kong,21.2,62.3,13.2,70.8,29.1,-
301-350,Illinois Institute of Technology,United States of America,40.2,59.4,17.3,50.3,-,-
301-350,Kansas State University,United States of America,27,41.5,16.5,61,39.2,-
301-350,Ko퀌_ University,Turkey,21.6,49.8,24.4,58.5,50.6,-
301-350,Macquarie University,Australia,24,89.2,24.8,50.2,36.2,-
301-350,Novosibirsk State University,Russian Federation,24.6,43.8,17.2,70.5,33.4,-
301-350,Oregon State University,United States of America,27.8,36.7,21.1,63.3,32,-
301-350,Polytechnic University of Milan,Italy,27.6,42.9,26.6,55.8,67.8,-
301-350,Renmin University of China,China,34.9,44.4,14.7,59.6,42.8,-
301-350,San Diego State University,United States of America,19.7,26.9,24.8,65.6,29.2,-
301-350,Sapienza University of Rome,Italy,32.3,37.5,28.1,50.7,34.2,-
301-350,Sharif University of Technology,Iran,28.7,19.4,34.7,50.4,86.2,-
301-350,State University of Campinas,Brazil,43.4,20.7,38.8,28,44.5,-
301-350,Sun Yat-sen University,China,32.5,37,25.2,54.1,58.9,-
